央卫综合,#genre#
天映频道,http://8.137.59.151:99/fhtv/fenghuang.php?id=15
CCM,http://8.137.59.151:99/fhtv/fenghuang.php?id=16
香港31,http://8.137.59.151:99/fhtv/fenghuang.php?id=17
香港32,http://8.137.59.151:99/fhtv/fenghuang.php?id=18
VIU,http://8.137.59.151:99/fhtv/fenghuang.php?id=19
Astro欢喜台,http://8.137.59.151:99/fhtv/fenghuang.php?id=21
AstroQJ,http://8.137.59.151:99/fhtv/fenghuang.php?id=22
民视,http://8.137.59.151:99/fhtv/fenghuang.php?id=26
台视,http://8.137.59.151:99/fhtv/fenghuang.php?id=27
中视,http://8.137.59.151:99/fhtv/fenghuang.php?id=28
TVBS,http://8.137.59.151:99/fhtv/fenghuang.php?id=30
全球新闻,http://8.137.59.151:99/fhtv/fenghuang.php?id=31
民视台湾台,http://8.137.59.151:99/fhtv/fenghuang.php?id=33
三立综合台,http://8.137.59.151:99/fhtv/fenghuang.php?id=34
三立都会台,http://8.137.59.151:99/fhtv/fenghuang.php?id=36
美亚电影1,http://8.137.59.151:99/fhtv/fenghuang.php?id=52
美亚电影2,http://8.137.59.151:99/fhtv/fenghuang.php?id=80
HOB,http://8.137.59.151:99/fhtv/fenghuang.php?id=53
HOBITS,http://8.137.59.151:99/fhtv/fenghuang.php?id=54
HOBIGTURS,http://8.137.59.151:99/fhtv/fenghuang.php?id=55
HOBAMILY,http://8.137.59.151:99/fhtv/fenghuang.php?id=56
民视第一台,http://8.137.59.151:99/fhtv/fenghuang.php?id=125
纬来日本,http://8.137.59.151:99/fhtv/fenghuang.php?id=76
八大综合,http://8.137.59.151:99/fhtv/fenghuang.php?id=37
八大第一,http://8.137.59.151:99/fhtv/fenghuang.php?id=121
东森综合台,http://8.137.59.151:99/fhtv/fenghuang.php?id=79
中天亚洲,http://8.137.59.151:99/fhtv/fenghuang.php?id=39
中天综合,http://8.137.59.151:99/fhtv/fenghuang.php?id=40
公视,http://8.137.59.151:99/fhtv/fenghuang.php?id=118
中天新闻,http://8.137.59.151:99/fhtv/fenghuang.php?id=58
TVBS 新闻台,http://8.137.59.151:99/fhtv/fenghuang.php?id=57
寰宇新闻台,http://8.137.59.151:99/fhtv/fenghuang.php?id=63
中视新闻,http://8.137.59.151:99/fhtv/fenghuang.php?id=60
年代新闻,http://8.137.59.151:99/fhtv/fenghuang.php?id=65
民视新闻台,http://8.137.59.151:99/fhtv/fenghuang.php?id=61
台视新闻,http://8.137.59.151:99/fhtv/fenghuang.php?id=59
EVETV戏剧,http://8.137.59.151:99/fhtv/fenghuang.php?id=67
EVETV旅游,http://8.137.59.151:99/fhtv/fenghuang.php?id=68
纬来体育,http://8.137.59.151:99/fhtv/fenghuang.php?id=77
纬来电影台,http://8.137.59.151:99/fhtv/fenghuang.php?id=45
龙华电影台,http://8.137.59.151:99/fhtv/fenghuang.php?id=48
龙华戏剧台,http://8.137.59.151:99/fhtv/fenghuang.php?id=50
龙华偶像,http://8.137.59.151:99/fhtv/fenghuang.php?id=51
东森洋片,http://8.137.59.151:99/fhtv/fenghuang.php?id=49
八大戏剧,http://8.137.59.151:99/fhtv/fenghuang.php?id=122
三立戏剧台,http://8.137.59.151:99/fhtv/fenghuang.php?id=123
holywood,http://8.137.59.151:99/fhtv/fenghuang.php?id=46
AXW,http://8.137.59.151:99/fhtv/fenghuang.php?id=47
靖天国际,http://8.137.59.151:99/fhtv/fenghuang.php?id=69
靖天卡通,http://8.137.59.151:99/fhtv/fenghuang.php?id=70
爱尔达体育4,http://8.137.59.151:99/fhtv/fenghuang.php?id=75
爱尔达影剧,http://8.137.59.151:99/fhtv/fenghuang.php?id=126

北京频道,#genre#
北京卫视,https://live-pc.xuexi.cn/merged/bjtv_merge_qhd.m3u8?auth_key=1709659606-0-17096056058203006-d7037ef7fb25027c67edf09fa67d4b24&yid=17096056058203006#http://adsl03.ccj.gohome.link:55556/rtp/239.3.1.241:8000
北京新闻,http://live.funhillrm.com/5/sd/live.m3u8?zbeid#http://live.funhillrm.com/5/sd/live.m3u8
北京影视标清,http://58.216.17.180/downflv.brtvcloud.com/hyyhuyu/drtctv.m3u8
石景山有线,http://live.sjsrm.com/bjsjs/sd/live.m3u8?zbeid#http://live.sjsrm.com/bjsjs/sd/live.m3u8
顺义电视台,https://livebjsy.chinamcache.com/live/zb02.m3u8#https://livebjsy.chinamcache.com/live/zb01.m3u8
BRTV新闻,http://live.funhillrm.com/5/sd/live.m3u8
房山无线频道,http://live.funhillrm.com/2/sd/live.m3u8#http://live.funhillrm.com/2/sd/live.m3u8?zbeid
石景山有线,http://live.sjsrm.com/bjsjs/sd/live.m3u8?zbeid
石景山电视,https://live.sjsrm.com/bjsjs/sd/live.m3u8
房山区电视,https://live.funhillrm.com/2/sd/live.m3u8
北京卫视,http://adsl03.ccj.gohome.link:55556/rtp/239.3.1.241:8000#http://61.240.39.46:8083/rtp/226.0.2.177:9328


港·澳·台,#genre#

凤凰资讯高清,http://39.164.222.163:9901/tsfile/live/1009_1.m3u8#http://113.64.145.55:8081/hls/36/index.m3u8#http://113.222.43.131:8882/udp/239.76.246.8:1234#http://113.222.43.131:8882/udp/239.76.253.134:9000
凤凰中文高清,http://113.64.145.55:8081/hls/37/index.m3u8#http://113.222.43.131:8882/udp/239.76.246.7:1234#http://113.222.43.131:8882/udp/239.76.253.135:9000
香港衛視,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港衛視文旅台,http://ali-play.lezhibo.com:80/lezhibo/6ad788f1bbab4c689ecdc0d64a1e1601.m3u8
TVB翡翠台, http://183.237.246.14:9931/tsfile/live/1007_1.m3u8
TVB明珠台, http://183.237.246.14:9931/tsfile/live/1009_1.m3u8
TVB星河台,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
TVB娛樂新聞台,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
澳門衛視,https://live.mastvnet.com/lsdream/MSTV/1500/live.m3u8
澳亞衛視,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
民視HD,rtmp://f13h.mine.nu/sat/tv051 
中視HD,rtmp://f13h.mine.nu/sat/tv091 
華視HD,rtmp://f13h.mine.nu/sat/tv111 
台視HD,rtmp://f13h.mine.nu/sat/tv071
東森超視HD,rtmp://f13h.mine.nu/sat/tv331
MOMOTVHD,rtmp://f13h.mine.nu/sat/tv761
大立電視台,http://www.dalitv.com.tw:4568/live/dali/index.m3u8 
大愛電視1台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱電視2台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8 
番薯音樂台,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8#http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8
星空衛視,http://vl15191373.imwork.net:8880/udp/239.93.1.10:2193
天映經典,http://171.108.239.92:8181/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
TVB功夫台,http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
TVB武俠台,http://1.62.64.252/0b926d37065dc656266be75dd9d25565.v.smtcdns.net/tx.flv.huya.com/src/1199632572132-1199632572132-7318565434771983384-2399265267720-10057-A-1703986510-1.flv
經典功夫台, http://cfss.cc/cdn/yy/1355002394.flv
經典影視台,http://ali.hlspull.yximgs.com/live/asdfg32516.flv
經典電影台,http://ali.hlspull.yximgs.com/live/asdfg32522.flv
東森電影HD,http://171.108.239.92:8181/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
東森洋片HD,http://171.108.239.92:8181/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
八大戲劇台HD,http://61.221.215.25:8800/hls/39/index.m3u8
八大綜合台HD,http://61.221.215.25:8800/hls/56/index.m3u8
八大第1台HD,http://61.221.215.25:8800/hls/55/index.m3u8
三立戲劇台,http://61.221.215.25:8800/hls/41/index.m3u8
AMC電影台,http://61.221.215.25:8800/hls/43/index.m3u8
探索亞洲,http://61.221.215.25:8800/hls/50/index.m3u8
動物星球,http://61.221.215.25:8800/hls/57/index.m3u8
緯來體育,https://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130
緯來精彩,http://61.221.215.25:8800/hls/48/index.m3u8
緯來日本,rtmp://f13h.mine.nu/sat/tv771
緯來育樂,rtmp://f13h.mine.nu/sat/tv701
ELEVEN體育1台,rtmp://f13h.mine.nu/sat/tv731 
ELEVEN體育2台,rtmp://f13h.mine.nu/sat/tv741
中國環球,http://live.cgtn.com/500/prog_index.m3u8
環球電視台,http://zb.xzxwhcb.com:9999/hls/world.m3u8 
美亞電視台,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8 
人間衛視,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/playlist.m3u8
香港佛陀台,https://js1.amtb.cn/liveedge/_definst_/livetv/playlist.m3u8
生命電視台,http://61.216.67.119:1935/lifetv/lifetv.stream/manifest.m3u8
唯心電視台,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/chunklist_w1177047531.m3u8 
民視新聞台HD,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
中旺電視台，http://38.64.72.148/hls/modn/list/4010/chunklist0.m3u8
大立電視台，http://www.dalitv.com.tw:4568/live/dali/index.m3u8
緯來體育，https://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130
民視新聞台HD，http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
公視,http://mywlkj.ddns.net:754/tv/tw6.php?id=46
大立電視台，http://www.dalitv.com.tw:4568/live/dali/index.m3u8

民視HD,rtmp://f13h.mine.nu/sat/tv051 
中視HD,rtmp://f13h.mine.nu/sat/tv091 
華視HD,rtmp://f13h.mine.nu/sat/tv111 
台視HD,rtmp://f13h.mine.nu/sat/tv071
台視HD，rtmp://f13h.mine.nu/sat/tv071
華視HD，rtmp://f13h.mine.nu/sat/tv111
中視HD，rtmp://f13h.mine.nu/sat/tv091
民視HD，rtmp://f13h.mine.nu/sat/tv051
民視HD，rtmp://f13h.mine.nu/sat/tv051
中視HD，rtmp://f13h.mine.nu/sat/tv091
華視HD，rtmp://f13h.mine.nu/sat/tv111
台視HD，rtmp://f13h.mine.nu/sat/tv071
东森超視HD,rtmp://f13h.mine.nu/sat/tv331 
ELEVEN體育1台，rtmp://f13h.mine.nu/sat/tv731
ELEVEN體育2台，rtmp://f13h.mine.nu/sat/tv741
緯來育樂，rtmp://f13h.mine.nu/sat/tv701
緯來日本，rtmp://f13h.mine.nu/sat/tv771
MoMo综合，rtmp://f13h.mine.nu/sat/tv761
东森超視HD，rtmp://f13h.mine.nu/sat/tv331
東森超視HD，rtmp://f13h.mine.nu/sat/tv331
MOMOTVHD，rtmp://f13h.mine.nu/sat/tv761

凤凰资讯,http://giwon.ddns.net:5555/udp/239.93.0.118:2191
凤凰资讯,http://vl15191373.imwork.net:8880/udp/239.93.0.118:2191
凤凰资讯,http://vl15191373.imwork.net:8880/udp/239.93.1.4:2191
凤凰香港,http://103.95.24.37:880/fhxgt.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
香港面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
香港有线新闻,http://61.10.2.141/live_freedirect/freehd209_h.live/playlist.m3u8
星空,http://vl15191373.imwork.net:8880/udp/239.93.0.156:2193
星空,http://vl15191373.imwork.net:8880/udp/239.93.1.10:2193
经典都市,http://ali.hlspull.yximgs.com/live/asdfg32516.flv
经典神话,http://ali.hlspull.yximgs.com/live/asdfg32522.flv
星光综合,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
TVB翡翠台,http://cdn8.jdshipin.com:8880/smt.php?id=jade_twn
TVB明珠台,http://cdn8.jdshipin.com:8880/smt.php?id=pearl_twn
TVB J2,http://cdn8.jdshipin.com:8880/smt.php?id=j2_twn
TVB亚洲武侠,http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
TVB星河,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
TVB财经体育资讯,https://ha.jmied.com/aa/aa.flv?auth_key=1661958232-0-0-3d9174957759709f8b53448167c0b6f6
TVB娱乐新闻,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
CHANNEL-V,http://vl15191373.imwork.net:8880/udp/239.93.0.157:2194
CHANNEL-V,http://vl15191373.imwork.net:8880/udp/239.93.1.7:2194
澳门莲花,http://php.jdshipin.com:8880/amlh.php
番薯音乐,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8
番薯音乐,http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8
环球电视,http://zb.xzxwhcb.com:9999/hls/world.m3u8
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/playlist.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-mobile/playlist.m3u8
纬来体育,http://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130
纬来体育,https://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130
大爱1,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱1,https://pulltv2.wanfudaluye.com/live/tv1.m3u8
大爱2,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
大爱2,https://pulltv1.wanfudaluye.com/live/tv2.m3u8

AMC电影台,http://61.221.215.25:8800/hls/43/index.m3u8
JIB TV,http://61.221.215.25:8800/hls/51/index.m3u8
LISTEN ON SPOTIFY,http://61.221.215.25:8800/hls/58/index.m3u8
TVBS NEWS,http://61.221.215.25:8800/hls/9/index.m3u8
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8
纯享音乐,http://61.221.215.25:8800/hls/49/index.m3u8
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
探索频道,http://61.221.215.25:8800/hls/1/index.m3u8
探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
中华小当家,http://61.221.215.25:8800/hls/40/index.m3u8

无线星河频道,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
无线娱乐频道,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
香港31台高清,https://rthktv31-live.akamaized.net/hls/live/2036818/RTHKTV31/stream2/streamPlaylist.m3u8
香港32台高清,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream2/streamPlaylist.m3u8
香港33台高清,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
香港34台高清,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
香港35台高清,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
4k👉修复全网,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
4k👉动物全网,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
-4kCCTV16台,https://tv.cry33.com/ys4k.php?id=16-4k
4K「时尚」台,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
4K「自然」台,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8

纬来精彩,http://61.221.215.25:8800/hls/48/index.m3u8 
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8 
星光视界频道,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv 
香港34台全网,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8 
HKS卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8 
澳亞衛視,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8 
香港麵包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8 
耀才財經,http://202.69.67.66:443/webcast/bshdlive-mobile/playlist.m3u8 
耀才財經,https://v3.mediacast.hk/webcast/bshdlive-pc/playlist.m3u8 
耀才財經,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8?wowzasessionid=64000 
亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8 
香港麵包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
全球信息,http://61.221.215.25:8800/hls/1/index.m3u8
GTV八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
GTV少儿,http://61.221.215.25:8800/hls/40/index.m3u8
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
aMC电影台,http://61.221.215.25:8800/hls/43/index.m3u8
凤凰卫视资讯,http://61.221.215.25:8800/hls/47/index.m3u8
discover亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
NHKworld,http://61.221.215.25:8800/hls/51/index.m3u8
GTV,http://61.221.215.25:8800/hls/54/index.m3u8
GTV八大12,http://61.221.215.25:8800/hls/55/index.m3u8
GTV八大综合,http://61.221.215.25:8800/hls/56/index.m3u8
GTV八大动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
GTV listen,http://61.221.215.25:8800/hls/58/index.m3u8


轮播直播,#genre#
封神榜86版,http://43.138.170.29:35455/yy/1353426319
射雕英雄传83版,http://43.138.170.29:35455/yy/1354210357
红楼梦87版,http://43.138.170.29:35455/yy/1382745084
三国演义94版,http://43.138.170.29:35455/yy/1354936241
新三国演义10版,http://43.138.170.29:35455/yy/23512910
新水浒传11版,https://live.metshop.top/huya/11342384
天龙八部黄日华版,http://43.138.170.29:35455/yy/1351814644
神雕侠侣古天乐版,https://live.metshop.top/yy/1351762426
笑傲江湖吕颂贤版,http://1.62.64.252/0b926d37065dc656266be75dd9d25565.v.smtcdns.net/tx.flv.huya.com/src/1199563481280-1199563481280-5444325008543318016-2399127086016-10057-A-0-1.flv?wsSecret=d658ed32069a22b36fa74105b3301269&wsTime=65f0b35b&fm=RFdxOEJjSjNoNkRKdDZUWV8kMF8kMV8kMl8kMw%3D%3D&ctype=huya_live&txyp=o%3Awx91%3B&fs=bgct
倚天屠龙记苏有朋版,http://43.138.170.29:35455/yy/1449856066
鹿鼎记陈小春版,https://live.metshop.top/yy/1382704650
