湖南央视综合,#genre#
湖南经视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=hnjs
湖南经视,http://zy.otioi.cn/live/place.php?id=hnjs
金鹰纪实,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=jyjs
金鹰纪实,http://zy.otioi.cn/live/place.php?id=jyjs
湖南娱乐,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=hnyl
湖南娱乐,http://zy.otioi.cn/live/place.php?id=hnyl
先锋乒羽,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=xfpy
先锋乒羽,http://zy.otioi.cn/live/place.php?id=xfpy
快乐垂钓,http://zy.otioi.cn/live/place.php?id=klcd
快乐垂钓,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=klcd
长沙新闻综合,http://zy.otioi.cn/live/place.php?id=csxw
长沙政法,http://zy.otioi.cn/live/place.php?id=cszf
常州都市,http://zy.otioi.cn/live/place.php?id=czds
齐齐哈尔经济法治,http://zy.otioi.cn/live/place.php?id=qqhrgg
齐齐哈尔新闻综合,http://zy.otioi.cn/live/place.php?id=qqhrxw
山东农科,http://zy.otioi.cn/live/place.php?id=nkpd
山东齐鲁,http://zy.otioi.cn/live/place.php?id=qlpd
山东生活,http://zy.otioi.cn/live/place.php?id=shpd
山东体育,http://zy.otioi.cn/live/place.php?id=typd
山东新闻,http://zy.otioi.cn/live/place.php?id=ggpd
山东综艺,http://zy.otioi.cn/live/place.php?id=zypd
济南移动电视,http://zy.otioi.cn/live/place.php?id=jnyd
四川成都少儿,http://zy.otioi.cn/live/place.php?id=cdse
四川蒲江,http://zy.otioi.cn/live/place.php?id=pujiang
四川青白江,http://zy.otioi.cn/live/place.php?id=qingbaijiang
四川邛崃综合,http://zy.otioi.cn/live/place.php?id=qionglai
四川双流综合,http://zy.otioi.cn/live/place.php?id=shuangliu
四川武侯,http://zy.otioi.cn/live/place.php?id=wuhou
四海钓鱼,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=shdy
太原经济生活,http://zy.otioi.cn/live/place.php?id=tyjj
太原社教法制,http://zy.otioi.cn/live/place.php?id=tyfz
太原文体,http://zy.otioi.cn/live/place.php?id=tywt
太原新闻综合,http://zy.otioi.cn/live/place.php?id=tyxw
太原影视,http://zy.otioi.cn/live/place.php?id=tyys
西藏影视文化,http://zy.otioi.cn/live/place.php?id=xzys
云南都市,http://zy.otioi.cn/live/place.php?id=ynds
云南康旅,http://zy.otioi.cn/live/place.php?id=ynkl
云南影视,http://zy.otioi.cn/live/place.php?id=ynys
浙江国际,http://zy.otioi.cn/live/place.php?id=10
浙江教科影视,http://zy.otioi.cn/live/place.php?id=04
浙江经济生活,http://zy.otioi.cn/live/place.php?id=03
浙江民生休闲,http://zy.otioi.cn/live/place.php?id=06
浙江钱江,http://zy.otioi.cn/live/place.php?id=02
浙江新闻,http://zy.otioi.cn/live/place.php?id=07
浙江之江纪录,http://zy.otioi.cn/live/place.php?id=12
金鹰卡通,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=jykt
金鹰卡通,http://zy.otioi.cn/live/place.php?id=jykt
卡酷动画,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=kkdh
优漫卡通,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=ymkt
山东少儿,http://zy.otioi.cn/live/place.php?id=sepd
云南少儿,http://zy.otioi.cn/live/place.php?id=ynse
浙江少儿,http://zy.otioi.cn/live/place.php?id=08


CCTV1,http://live.nctv.top/8/bestv.php?id=cctv1
CCTV2,http://live.nctv.top/8/bestv.php?id=cctv2
CCTV3,http://live.nctv.top/8/bestv.php?id=cctv3
CCTV4,http://live.nctv.top/8/bestv.php?id=cctv4
CCTV5,http://live.nctv.top/8/bestv.php?id=cctv5
CCTV5+,http://live.nctv.top/8/bestv.php?id=cctv5p2
CCTV6,http://live.nctv.top/8/bestv.php?id=cctv6
CCTV7,http://live.nctv.top/8/bestv.php?id=cctv7
CCTV8,http://live.nctv.top/8/bestv.php?id=cctv8
CCTV9,http://live.nctv.top/8/bestv.php?id=cctv9
CCTV10,http://live.nctv.top/8/bestv.php?id=cctv10
CCTV11,http://live.nctv.top/8/bestv.php?id=cctv11
CCTV12,http://live.nctv.top/8/bestv.php?id=cctv12
CCTV13,http://live.nctv.top/8/bestv.php?id=cctv13
CCTV14,http://live.nctv.top/8/bestv.php?id=cctv14
CCTV15,http://live.nctv.top/8/bestv.php?id=cctv15
CCTV16,http://live.nctv.top/8/bestv.php?id=cctv16
CCTV17,http://live.nctv.top/8/bestv.php?id=cctv17
安徽卫视,http://live.nctv.top/8/bestv.php?id=ahws
北京卫视,http://live.nctv.top/8/bestv.php?id=bjws
重庆卫视,http://live.nctv.top/8/bestv.php?id=cqws
东方卫视,http://live.nctv.top/8/bestv.php?id=dfws
东南卫视,http://live.nctv.top/8/bestv.php?id=dnws
甘肃卫视,http://live.nctv.top/8/bestv.php?id=gsws
广东卫视,http://live.nctv.top/8/bestv.php?id=gdws
广西卫视,http://live.nctv.top/8/bestv.php?id=gxws
贵州卫视,http://live.nctv.top/8/bestv.php?id=gzws
海南卫视,http://live.nctv.top/8/bestv.php?id=hinws
海峡卫视,http://live.nctv.top/8/bestv.php?id=hxws
河北卫视,http://live.nctv.top/8/bestv.php?id=hbws
河南卫视,http://live.nctv.top/8/bestv.php?id=hnws
黑龙江卫视,http://live.nctv.top/8/bestv.php?id=hljws
湖北卫视,http://live.nctv.top/8/bestv.php?id=hubws
湖南卫视,http://live.nctv.top/8/bestv.php?id=hunws
吉林卫视,http://live.nctv.top/8/bestv.php?id=jlws
江苏卫视,http://live.nctv.top/8/bestv.php?id=jsws
江西卫视,http://live.nctv.top/8/bestv.php?id=jxws
辽宁卫视,http://live.nctv.top/8/bestv.php?id=lnws
内蒙古卫视,http://live.nctv.top/8/bestv.php?id=nmws
宁夏卫视,http://live.nctv.top/8/bestv.php?id=nxws
青海卫视,http://live.nctv.top/8/bestv.php?id=qhws
厦门卫视,http://live.nctv.top/8/bestv.php?id=xmws
山东卫视,http://live.nctv.top/8/bestv.php?id=sdws
山西卫视,http://live.nctv.top/8/bestv.php?id=sxiws
陕西卫视,http://live.nctv.top/8/bestv.php?id=sxws
深圳卫视,http://live.nctv.top/8/bestv.php?id=szws
四川卫视,http://live.nctv.top/8/bestv.php?id=scws
天津卫视,http://live.nctv.top/8/bestv.php?id=tjws
云南卫视,http://live.nctv.top/8/bestv.php?id=ynws
浙江卫视,http://live.nctv.top/8/bestv.php?id=zjws


CCTV1,http://mail.petzhu.top:7000/rtp/239.254.200.45:8008
CCTV2,http://mail.petzhu.top:7000/rtp/239.254.200.158:6000
CCTV3,http://mail.petzhu.top:7000/rtp/239.254.200.159:6000
CCTV4,http://mail.petzhu.top:7000/rtp/239.254.200.190:6307
CCTV5,http://mail.petzhu.top:7000/rtp/239.254.201.153:7206
CCTV5+,http://mail.petzhu.top:7000/rtp/239.254.200.46:8004
CCTV6,http://mail.petzhu.top:7000/rtp/239.254.201.154:7207
CCTV7,http://mail.petzhu.top:7000/rtp/239.254.200.159:6000
CCTV8,http://mail.petzhu.top:7000/rtp/239.254.201.155:7208
CCTV9,http://mail.petzhu.top:7000/rtp/239.254.200.59:8112
CCTV10,http://mail.petzhu.top:7000/rtp/239.254.200.160:6000
CCTV11,http://mail.petzhu.top:7000/rtp/239.254.201.123:8120
CCTV12,http://mail.petzhu.top:7000/rtp/239.254.200.161:6000
CCTV13,http://mail.petzhu.top:7000/rtp/239.254.200.9:8264
CCTV14,http://mail.petzhu.top:7000/rtp/239.254.200.162:6000
CCTV15,http://mail.petzhu.top:7000/rtp/239.254.201.124:8136
CCTV16,http://mail.petzhu.top:7000/rtp/239.254.201.150:6345
CCTV17,http://mail.petzhu.top:7000/rtp/239.254.201.120:8144
安徽卫视,http://mail.petzhu.top:7000/rtp/239.254.200.163:6000
北京卫视,http://mail.petzhu.top:7000/rtp/239.254.200.47:8024
重庆卫视,http://mail.petzhu.top:7000/rtp/239.254.200.203:6323
东方卫视,http://mail.petzhu.top:7000/rtp/239.254.200.52:8032
东南卫视,http://mail.petzhu.top:7000/rtp/239.254.201.13:6291
广东卫视,http://mail.petzhu.top:7000/rtp/239.254.200.56:8048
广西卫视,http://mail.petzhu.top:7000/rtp/239.254.200.80:8300
贵州卫视,http://mail.petzhu.top:7000/rtp/239.254.201.20:6315
海南卫视,http://mail.petzhu.top:7000/rtp/239.254.201.125:6288
河南卫视,http://mail.petzhu.top:7000/rtp/239.254.201.16:7174
黑龙江卫视,http://mail.petzhu.top:7000/rtp/239.254.200.49:8016
湖北卫视,http://mail.petzhu.top:7000/rtp/239.254.200.164:6000
湖南卫视,http://mail.petzhu.top:7000/rtp/239.254.200.48:8012
吉林卫视,http://mail.petzhu.top:7000/rtp/239.254.201.15:6339
江苏卫视,http://mail.petzhu.top:7000/rtp/239.254.200.51:8028
江西卫视,http://mail.petzhu.top:7000/rtp/239.254.201.12:6290
辽宁卫视,http://mail.petzhu.top:7000/rtp/239.254.200.57:8056
内蒙古卫视,http://mail.petzhu.top:7000/rtp/239.254.200.84:8176
宁夏卫视,http://mail.petzhu.top:7000/rtp/239.254.200.87:8124
青海卫视,http://mail.petzhu.top:7000/rtp/239.254.200.85:8184
山东卫视,http://mail.petzhu.top:7000/rtp/239.254.200.55:8052
山西卫视,http://mail.petzhu.top:7000/rtp/239.254.200.83:8172
陕西卫视,http://mail.petzhu.top:7000/rtp/239.254.200.82:8140
深圳卫视,http://mail.petzhu.top:7000/rtp/239.254.200.50:8020
四川卫视,http://mail.petzhu.top:7000/rtp/239.254.200.202:6325
天津卫视,http://mail.petzhu.top:7000/rtp/239.254.200.54:1234
西藏卫视,http://mail.petzhu.top:7000/rtp/239.254.200.88:8164
新疆卫视,http://mail.petzhu.top:7000/rtp/239.254.200.89:8160
云南卫视,http://mail.petzhu.top:7000/rtp/239.254.200.68:8108
浙江卫视,http://mail.petzhu.top:7000/rtp/239.254.200.53:8036


CCTV1,http://alvin.ergotron.net:8000/udp/239.77.1.17:5146
CCTV2,http://alvin.ergotron.net:8000/udp/239.77.1.158:5146
CCTV3,http://alvin.ergotron.net:8000/udp/239.77.0.169:5146
CCTV4,http://alvin.ergotron.net:8000/udp/239.77.1.163:5146
CCTV5,http://alvin.ergotron.net:8000/udp/239.77.0.170:5146
CCTV6,http://alvin.ergotron.net:8000/udp/239.77.0.171:5146
CCTV7,http://alvin.ergotron.net:8000/udp/239.77.1.159:5146
CCTV8,http://alvin.ergotron.net:8000/udp/239.77.0.172:5146
CCTV9,http://alvin.ergotron.net:8000/udp/239.77.1.168:5146
CCTV10,http://alvin.ergotron.net:8000/udp/239.77.1.113:5146
CCTV11,http://alvin.ergotron.net:8000/udp/239.77.1.238:5146
CCTV12,http://alvin.ergotron.net:8000/udp/239.77.1.109:5146
CCTV13,http://alvin.ergotron.net:8000/udp/239.77.0.188:5146
CCTV14,http://alvin.ergotron.net:8000/udp/239.77.1.161:5146
CCTV15,http://alvin.ergotron.net:8000/udp/239.77.1.239:5146
CCTV16,http://alvin.ergotron.net:8000/udp/239.77.1.76:5146
CCTV17,http://alvin.ergotron.net:8000/udp/239.77.1.121:5146
安徽卫视,http://alvin.ergotron.net:8000/udp/239.77.1.92:5146
北京卫视,http://alvin.ergotron.net:8000/udp/239.77.1.4:5146
重庆卫视,http://alvin.ergotron.net:8000/udp/239.77.1.162:5146
大湾区卫视,http://alvin.ergotron.net:8000/udp/239.77.0.215:5146
东方卫视,http://alvin.ergotron.net:8000/udp/239.77.1.218:5146
东南卫视,http://alvin.ergotron.net:8000/udp/239.77.1.104:5146
甘肃卫视,http://alvin.ergotron.net:8000/udp/239.77.0.189:5146
广东卫视,http://alvin.ergotron.net:8000/udp/239.77.1.19:5146
广西卫视,http://alvin.ergotron.net:8000/udp/239.77.43.36:5146
贵州卫视,http://alvin.ergotron.net:8000/udp/239.77.1.221:5146
海南卫视,http://alvin.ergotron.net:8000/udp/239.77.43.35:5146
河北卫视,http://alvin.ergotron.net:8000/udp/239.77.1.214:5146
河北卫视,http://alvin.ergotron.net:8000/udp/239.77.1.214:5146
河南卫视,http://alvin.ergotron.net:8000/udp/239.77.1.229:5146
黑龙江卫视,http://alvin.ergotron.net:8000/udp/239.77.1.6:5146
湖北卫视,http://alvin.ergotron.net:8000/udp/239.77.1.93:5146
湖南卫视,http://alvin.ergotron.net:8000/udp/239.77.1.5:5146
吉林卫视,http://alvin.ergotron.net:8000/udp/239.77.1.111:5146
吉林卫视,http://alvin.ergotron.net:8000/udp/239.77.1.111:5146
江苏卫视,http://alvin.ergotron.net:8000/udp/239.77.1.18:5146
江西卫视,http://alvin.ergotron.net:8000/udp/239.77.1.219:5146
辽宁卫视,http://alvin.ergotron.net:8000/udp/239.77.1.103:5146
内蒙古卫视,http://alvin.ergotron.net:8000/udp/239.77.1.55:5146
宁夏卫视,http://alvin.ergotron.net:8000/udp/239.77.1.47:5146
山东卫视,http://alvin.ergotron.net:8000/udp/239.77.1.142:5146
陕西卫视,http://alvin.ergotron.net:8000/udp/239.77.1.54:5146
深圳卫视,http://alvin.ergotron.net:8000/udp/239.77.1.3:5146
四川卫视,http://alvin.ergotron.net:8000/udp/239.77.1.215:5146
天津卫视,http://alvin.ergotron.net:8000/udp/239.77.0.131:5146
天津卫视,http://alvin.ergotron.net:8000/udp/239.77.1.141:5146
云南卫视,http://alvin.ergotron.net:8000/udp/239.77.43.37:5146
浙江卫视,http://alvin.ergotron.net:8000/udp/239.77.1.33:5146



CCTV1,http://cdn.u55u.cn/migu.php?id=cctv1
CCTV2,http://cdn.u55u.cn/migu.php?id=cctv2
CCTV3,http://cdn.u55u.cn/migu.php?id=cctv3
CCTV4,http://cdn.u55u.cn/migu.php?id=cctv4
CCTV4美洲,http://cdn.u55u.cn/migu.php?id=cctv4a
CCTV4欧洲,http://cdn.u55u.cn/migu.php?id=cctv4o
CCTV5,http://cdn.u55u.cn/migu.php?id=cctv5
CCTV5+,http://cdn.u55u.cn/migu.php?id=cctv5p
CCTV6,http://cdn.u55u.cn/migu.php?id=cctv6
CCTV7,http://cdn.u55u.cn/migu.php?id=cctv7
CCTV8,http://cdn.u55u.cn/migu.php?id=cctv8
CCTV9,http://cdn.u55u.cn/migu.php?id=cctv9
CCTV10,http://cdn.u55u.cn/migu.php?id=cctv10
CCTV11,http://cdn.u55u.cn/migu.php?id=cctv11
CCTV12,http://cdn.u55u.cn/migu.php?id=cctv12
CCTV13,http://cdn.u55u.cn/migu.php?id=cctv13
CCTV14,http://cdn.u55u.cn/migu.php?id=cctv14
CCTV15,http://cdn.u55u.cn/migu.php?id=cctv15
CCTV17,http://cdn.u55u.cn/migu.php?id=cctv17
发现之旅,http://cdn.u55u.cn/migu.php?id=fxzl
老故事,http://cdn.u55u.cn/migu.php?id=lgs
中学生,http://cdn.u55u.cn/migu.php?id=zxs
CGTN,http://cdn.u55u.cn/migu.php?id=cgtn
CGTN阿拉伯语,http://cdn.u55u.cn/migu.php?id=cgtna
CGTN俄语,http://cdn.u55u.cn/migu.php?id=cgtnr
CGTN法语,http://cdn.u55u.cn/migu.php?id=cgtnf
CGTN纪录,http://cdn.u55u.cn/migu.php?id=cgtnjl
CGTN西班牙语,http://cdn.u55u.cn/migu.php?id=cgtne
重庆卫视,http://cdn.u55u.cn/migu.php?id=cqws
大湾区卫视,http://cdn.u55u.cn/migu.php?id=dwqws
东方卫视,http://cdn.u55u.cn/migu.php?id=dfws
甘肃卫视,http://cdn.u55u.cn/migu.php?id=gsws
广西卫视,http://cdn.u55u.cn/migu.php?id=gxws
贵州卫视,http://cdn.u55u.cn/migu.php?id=gzws
海南卫视,http://cdn.u55u.cn/migu.php?id=hinws
海峡卫视,http://cdn.u55u.cn/migu.php?id=hxws
湖北卫视,http://cdn.u55u.cn/migu.php?id=hubws
吉林卫视,http://cdn.u55u.cn/migu.php?id=jlws
江苏卫视,http://cdn.u55u.cn/migu.php?id=jsws
江西卫视,http://cdn.u55u.cn/migu.php?id=jxws
内蒙古卫视,http://cdn.u55u.cn/migu.php?id=nmws
宁夏卫视,http://cdn.u55u.cn/migu.php?id=nxws
青海卫视,http://cdn.u55u.cn/migu.php?id=qhws
山东卫视,http://cdn.u55u.cn/migu.php?id=sdws
陕西卫视,http://cdn.u55u.cn/migu.php?id=sxws
西藏卫视,http://cdn.u55u.cn/migu.php?id=xzws
新疆卫视,http://cdn.u55u.cn/migu.php?id=xjws
云南卫视,http://cdn.u55u.cn/migu.php?id=ynws
NBA经典,http://cdn.u55u.cn/migu.php?id=nbajd
UFC格斗精选,http://cdn.u55u.cn/migu.php?id=ufcgdjx
和平精英赛事,http://cdn.u55u.cn/migu.php?id=hpjxss
红色轮播台,http://cdn.u55u.cn/migu.php?id=hslbt
高清大片,http://cdn.u55u.cn/migu.php?id=gqdp
掼蛋精英赛,http://cdn.u55u.cn/migu.php?id=gdjys
法治天地,http://cdn.u55u.cn/migu.php?id=fztd
欢笑剧场,http://cdn.u55u.cn/migu.php?id=hxjc
广东影视,http://cdn.u55u.cn/migu.php?id=gdys
嘉佳卡通,http://cdn.u55u.cn/migu.php?id=jjkt
劲爆体育,http://cdn.u55u.cn/migu.php?id=jbty
经典动画大集合,http://cdn.u55u.cn/migu.php?id=jddhdjh
经典深圳旁边电影,http://cdn.u55u.cn/migu.php?id=jdxgdy
军事迷必看大片,http://cdn.u55u.cn/migu.php?id=jsdp
玫瑰轮播台,http://cdn.u55u.cn/migu.php?id=mglbt
魅力足球,http://cdn.u55u.cn/migu.php?id=mlzq
咪咕24小时体育台,http://cdn.u55u.cn/migu.php?id=mg24hty
南京教科,http://cdn.u55u.cn/migu.php?id=njkj
欧洲足球风云,http://cdn.u55u.cn/migu.php?id=ozzqfy
全民乒乓,http://cdn.u55u.cn/migu.php?id=qmpp
热剧联播,http://cdn.u55u.cn/migu.php?id=rjlb
赛事最经典,http://cdn.u55u.cn/migu.php?id=sszjd
24小时亚洲杯频道,http://cdn.u55u.cn/migu.php?id=24hyzb
CBA经典,http://cdn.u55u.cn/migu.php?id=cbajd
上海纪实人文,http://cdn.u55u.cn/migu.php?id=shjsrw
四海钓鱼,http://cdn.u55u.cn/migu.php?id=shdy
体坛名栏汇,http://cdn.u55u.cn/migu.php?id=ttmlh
五大联赛经典,http://cdn.u55u.cn/migu.php?id=wdlsjd
乡村振兴,http://cdn.u55u.cn/migu.php?id=xczx
新片放映厅,http://cdn.u55u.cn/migu.php?id=xpfyt
幸福中国年,http://cdn.u55u.cn/migu.php?id=xfzgn
英雄联盟赛事,http://cdn.u55u.cn/migu.php?id=yxlmss
优漫卡通,http://cdn.u55u.cn/migu.php?id=ymkt
